"","testSection","testParcelle","",""
"4532","AL","56","AL","56"
"4533","BE","216-177","BE","216-177"
"4534","AZ","250","AZ","250"
"4535","AZ","281","AZ","281"
"4536","BF","16","BF","16"
"4537","AT","36","AT","36"
"4538","AH","196","AH","196"
"4539","AB","109","AB","109"
"4540","S","163","S","163"
"4541","AU","137","AU","137"
"4542","BF","110","BF","110"
"4543","AS","116","AS","116"
"4544","AK","126-127-140-141","AK","126-127-140-141"
"4545","AZ","162","AZ","162"
"4546","P","159","P","159"
"4547","AS","44","AS","44"
"4548","U","145","U","145"
"4549","AS","6","AS","6"
"4550","J","1;et2","J","1  et    2"
"4551","AQ","293","AQ","293"
"4552","AN","234-236-238-239","AN","234-236-238-239"
"4553","","","",""
"4554","AJ","103-104-105-106-107","AJ","103-104-105-106-107"
"4555","AO","96","AO","96"
"4556","AO","196","AO","196"
"4557","AZ","41","AZ","41"
"4558","V","18","V","18"
"4559","E","23","E","23"
"4560","AQ","32","AQ","32"
"4561","AG","322","AG","322"
"4562","AQ","102","AQ","102"
"4563","J","92","J","92"
"4564","AT","212","AT","212"
"4565","AK","43","AK","43"
"4566","F","174","F","174"
"4567","M","25","M","25"
"4568","AE","42","AE","42"
"4569","J","215","J","215"
"4570","AQ","136","AQ","136"
"4571","BE","96","BE","96"
"4572","Y","166","Y","166"
"4573","AN","61","AN","61"
"4574","AE","159","AE","159"
"4575","AH","173","AH","173"
"4576","AH","173","AH","173"
"4577","A","28","A","28"
"4578","BH","140","BH","140"
"4579","X","137","X","137"
"4580","AZ","191","AZ","191"
"4581","F","102-103-166-173","F","102-103-166-173"
"4582","O","1","O","1"
"4583","","","",""
"4584","AL","65","AL","65"
"4585","AT","173","AT","173"
"4586","H","18","H","18"
"4587","BD","33","BD","33"
"4588","AT","185","AT","185"
"4589","AH","172","AH","172"
"4590","AR","148","AR","148"
"4591","O","13","O","13"
"4592","T","12","T","12"
"4593","AP","162","AP","162"
"4594","AI","14;-163","AI","14 - 163"
"4595","AT","128","AT","128"
"4596","AN","163","AN","163"
"4597","AO","124","AO","124"
"4598","AQ","56","AQ","56"
"4599","AT","212","AT","212"
"4600","AN","127;212","AN","127;212"
"4601","B","193","B","193"
"4602","BF","85","BF","85"
"4603","AX","131","AX","131"
"4604","AO","270","AO","270"
"4605","AZ","57","AZ","57"
"4606","X","118","X","118"
"4607","AH","253","AH","253"
"4608","U","165","U","165"
"4609","BF","168-195","BF","168-195"
"4610","M","126","M","126"
"4611","M","126;-111","M","126 - 111"
"4612","AY","60","AY","60"
"4613","U","131","U","131"
"4614","AB","22","AB","22"
"4615","AX","71","AX","71"
"4616","BF","25","BF","25"
"4617","AH","190+193","AH","190+193"
"4618","AK","77","AK","77"
"4619","AB","53","AB","53"
"4620","AS","158","AS","158"
"4621","A","25","A","25"
"4622","AO","96","AO","96"
"4623","AC","7;36;37;38;39","AC","7;36;37;38;39"
"4624","AJ","54-55-56-60-61-62-63-172-225-226","AJ","54-55-56-60-61-62-63-172-225-226"
"4625","AQ","118","AQ","118"
"4626","AZ","218","AZ","218"
"4627","AZ","279","AZ","279"
"4628","D","171-173","D","171-173"
"4629","AL","183","AL","183"
"4630","H","234","H","234"
"4631","V","136","V","136"
"4632","BC","20","BC","20"
"4633","AP","132","AP","132"
"4634","AS","107","AS","107"
"4635","AJ","24","AJ","24"
"4636","A","146","A","146"
"4637","AY","96","AY","96"
"4638","F","58","F","58"
"4639","X","75","X","75"
"4640","AI","113","AI","113"
"4641","AL","148","AL","148"
"4642","AK","10","AK","10"
"4643","H","94","H","94"
"4644","H","95","H","95"
"4645","H","99","H","99"
"4646","H","100","H","100"
"4647","H","101;;133;134","H","101; 133; 134"
"4648","H","102;;142","H","102; 142"
"4649","S","18","S","18"
"4650","B","235;;249p;250p","B","235; 249p; 250p"
"4651","AH","253","AH","253"
"4652","G","69","G","69"
"4653","AR","106","AR","106"
"4654","AR","166","AR","166"
"4655","AH","151","AH","151"
"4656","B","339;b-197a-250b-249a","B","339 b - 197a -250b -249a"
"4657","AP","106","AP","106"
"4658","AK","77","AK","77"
"4659","AQ","237","AQ","237"
"4660","AG","199","AG","199"
"4661","AX","128","AX","128"
"4662","AY","68","AY","68"
"4663","E","86","E","86"
"4664","AP","148","AP","148"
"4665","AU","178","AU","178"
"4666","Y","279","Y","279"
"4667","AS","102","AS","102"
"4668","AH","64","AH","64"
"4669","AL","94","AL","94"
"4670","AE","103","AE","103"
"4671","P","129","P","129"
"4672","AO","270","AO","270"
"4673","AY","23","AY","23"
"4674","AG","85","AG","85"
"4675","H","169","H","169"
"4676","C","149;;150","C","149; 150"
"4677","AG","319","AG","319"
"4678","BF","35;191","BF","35;191"
"4679","AU","87","AU","87"
"4680","B","325","B","325"
"4681","AO","133","AO","133"
"4682","AP","7","AP","7"
"4683","AY","87","AY","87"
"4684","U","115","U","115"
"4685","AL","65","AL","65"
"4686","G","167","G","167"
"4687","AI","182","AI","182"
"4688","T","143","T","143"
"4689","AQ","281","AQ","281"
"4690","AS","6","AS","6"
"4691","D","17","D","17"
"4692","AO","50","AO","50"
"4693","T","102","T","102"
"4694","AQ","177","AQ","177"
"4695","Z","57","Z","57"
"4696","M","98","M","98"
"4697","AU","11;et12","AU","11 et 12"
"4698","T","32","T","32"
"4699","AS","187","AS","187"
"4700","P","95-151-68","P","95-151-68"
"4701","D","109-110","D","109-110"
"4702","N","25","N","25"
"4703","AI","58-134","AI","58-134"
"4704","AJ","103-104-105-106-107","AJ","103-104-105-106-107"
"4705","AV","215","AV","215"
"4706","AQ","274","AQ","274"
"4707","D","134","D","134"
"4708","AV;BF","36;202","AV                BF","36               202"
"4709","S","39","S","39"
"4710","B","193-194","B","193-194"
"4711","BF","85","BF","85"
"4712","AG","58","AG","58"
"4713","AV","38","AV","38"
"4714","AZ","221","AZ","221"
"4715","BF","16","BF","16"
"4716","AP","73","AP","73"
"4717","BF","178;;194","BF","178; 194"
"4718","AQ","74","AQ","74"
"4719","O","1","O","1"
"4720","S","213","S","213"
"4721","AE","60","AE","60"
"4722","AD","220","AD","220"
"4723","F","47;et136","F","47 et 136"
"4724","F","58","F","58"
"4725","AO","241-242","AO","241-242"
"4726","AQ","56","AQ","56"
"4727","V","136","V","136"
"4728","AC","51","AC","51"
"4729","J","298","J","298"
"4730","AN","11","AN","11"
"4731","C","107","C","107"
"4732","AS","107","AS","107"
"4733","AH","172","AH","172"
"4734","AZ","191","AZ","191"
"4735","AI","153","AI","153"
"4736","L","18","L","18"
"4737","BF","7","BF","7"
"4738","Y","121","Y","121"
"4739","V","99","V","99"
"4740","AI","129","AI","129"
"4741","BF","35","BF","35"
"4742","AO","20","AO","20"
"4743","BF","147","BF","147"
"4744","P","164","P","164"
"4745","AD","171-;173","AD","171- 173"
"4746","H","242-244-289-350-370","H","242-244-289-350-370"
"4747","AV;BF","36;202","AV                   BF","36                    202"
"4748","AL","217","AL","217"
"4749","C","71","C","71"
"4750","G","139-140","G","139-140"
"4751","P","?","P","?"
"4752","AS","128","AS","128"
"4753","AY","68","AY","68"
"4754","C","107","C","107"
"4755","AJ","116","AJ","116"
"4756","M","24","M","24"
"4757","BF","25","BF","25"
"4758","A","317","A","317"
"4759","AN","58","AN","58"
"4760","AH","232","AH","232"
"4761","S","62","S","62"
"4762","H","374","H","374"
"4763","F","47","F","47"
"4764","AR","166","AR","166"
"4765","S","213","S","213"
"4766","AY","87","AY","87"
"4767","U","18","U","18"
"4768","AB","109","AB","109"
"4769","AO","86","AO","86"
"4770","AX","181","AX","181"
"4771","AO","133","AO","133"
"4772","G","28","G","28"
"4773","AE","127;;130","AE","127; 130"
"4774","AR","201","AR","201"
"4775","AI","108","AI","108"
"4776","AV","38","AV","38"
"4777","AT","113;114;115;118;119;120;121;122;124;125;190;197","AT","113;114;115;118;119;120;121;122;124;125;190;197"
"4778","A","21","A","21"
"4779","AL","118","AL","118"
"4780","AM","96","AM","96"
"4781","AN","163","AN","163"
"4782","BF","103","BF","103"
"4783","AQ","237","AQ","237"
"4784","AO","96","AO","96"
"4785","AZ","160","AZ","160"
"4786","F","174","F","174"
"4787","BG","24","BG","24"
"4788","T","90","T","90"
"4789","AC","7-36-37-38-39","AC","7-36-37-38-39"
"4790","A","146","A","146"
"4791","AJ","114","AJ","114"
"4792","E","122","E","122"
"4793","AR","106","AR","106"
"4794","AG","215-217-219","AG","215-217-219"
"4795","BC","25","BC","25"
"4796","S","184","S","184"
"4797","AM","307","AM","307"
"4798","AM","303","AM","303"
"4799","AM","299","AM","299"
"4800","AM","305","AM","305"
"4801","AZ","261","AZ","261"
"4802","AH","213","AH","213"
"4803","H","242-244-289-350-370","H","242-244-289-350-370"
"4804","X","52","X","52"
"4805","AZ","140","AZ","140"
"4806","AO","30","AO","30"
"4807","AH","151","AH","151"
"4808","AU","183","AU","183"
"4809","AM","77","AM","77"
"4810","BF","25","BF","25"
"4811","AM","96","AM","96"
"4812","AM","96","AM","96"
"4813","S","167","S","167"
"4814","U","18","U","18"
"4815","AI","129","AI","129"
"4816","H","375","H","375"
"4817","AZ","222","AZ","222"
"4818","X","175;;6","X","175; 6"
"4819","AZ","17","AZ","17"
"4820","T","58","T","58"
"4821","AL","148","AL","148"
"4822","BD","169","BD","169"
"4823","AU","82","AU","82"
"4824","AS","212","AS","212"
"4825","AJ","116","AJ","116"
"4826","P","25;;157;93;68;87;88;95;130;131;5;6","P","25; 157;93;68;87;88;95;130;131;5;6"
"4827","H","171-220-231-234","H","171-220-231-234"
"4828","AK","105","AK","105"
"4829","V","137","V","137"
"4830","","","",""
"4831","","","",""
"4832","","","",""
"4833","G","14","G","14"
"4834","AS","158","AS","158"
"4835","T","86","T","86"
"4836","AO","161","AO","161"
"4837","E","45","E","45"
"4838","AK","26","AK","26"
"4839","AO","96","AO","96"
"4840","A","168","A","168"
"4841","H","234","H","234"
"4842","X","157","X","157"
"4843","AT","66","AT","66"
"4844","AM","77","AM","77"
"4845","X","75","X","75"
"4846","AS","116","AS","116"
"4847","B","193","B","193"
"4848","AH","253","AH","253"
"4849","AH","17","AH","17"
"4850","L","18","L","18"
"4851","AZ","205","AZ","205"
"4852","G","24","G","24"
"4853","AO","226","AO","226"
"4854","AV","36","AV","36"
"4855","AH","232","AH","232"
"4856","AM","311","AM","311"
"4857","H","321","H","321"
"4858","C","162","C","162"
"4859","BF","21","BF","21"
"4860","AO","216","AO","216"
"4861","AV","215","AV","215"
"4862","BF","256;(LotA)","BF","256 (Lot A )"
"4863","AH","88","AH","88"
"4864","AZ","281","AZ","281"
"4865","AG","199","AG","199"
"4866","AX","2","AX","2"
"4867","AZ","140","AZ","140"
"4868","AX","137","AX","137"
"4869","M","26;27","M","26;27"
"4870","K","42","K","42"
"4871","AU","87","AU","87"
"4872","B","315-317","B","315-317"
"4873","AG","154","AG","154"
"4874","AY","51","AY","51"
"4875","AN","204;13","AN","204        13"
"4876","","192-195p;250p","","192-195p 250p"
"4877","AO","20","AO","20"
"4878","AT","75","AT","75"
"4879","AL","94","AL","94"
"4880","AO","30","AO","30"
"4881","F","174","F","174"
"4882","AG","319","AG","319"
"4883","AZ","193;m²","AZ","193 m²"
"4884","H","234","H","234"
"4885","H","372","H","372"
"4886","AH","195","AH","195"
"4887","AO","93","AO","93"
"4888","AO","45","AO","45"
"4889","B","310","B","310"
"4890","AN","132","AN","132"
"4891","BF","25","BF","25"
"4892","AS","201","AS","201"
"4893","D","108","D","108"
"4894","L","40","L","40"
"4895","U","77","U","77"
"4896","AP","198","AP","198"
"4897","M","40","M","40"
"4898","AN","13-204","AN","13-204"
"4899","M","44","M","44"
"4900","AC","7-36-37-38-39","AC","7-36-37-38-39"
"4901","AU","83","AU","83"
"4902","H","102;;100;134;101;364;99;133","H","102; 100;134;101;364;99;133"
"4903","AH","71","AH","71"
"4904","AQ","74","AQ","74"
"4905","AH","71","AH","71"
"4906","AY","61","AY","61"
"4907","AM","97-109","AM","97-109"
"4908","R","123;;42;98","R","123; 42;98"
"4909","AJ","133","AJ","133"
"4910","AM","96","AM","96"
"4911","AH","53","AH","53"
"4912","AR","32","AR","32"
"4913","E","122","E","122"
"4914","AR","60","AR","60"
"4915","AL","121","AL","121"
"4916","T","188","T","188"
"4917","AZ","221","AZ","221"
"4918","BF","114","BF","114"
"4919","B","138","B","138"
"4920","AL","148","AL","148"
"4921","AL","83","AL","83"
"4922","AZ","61","AZ","61"
"4923","AR","200;m²","AR","200 m²"
"4924","O","138","O","138"
"4925","AU","24-25-26-102","AU","24-25-26-102"
"4926","AG","84","AG","84"
"4927","X","175;6","X","175;6"
"4928","AO","34","AO","34"
"4929","BD","53","BD","53"
"4930","M","28","M","28"
"4931","D","215","D","215"
"4932","AL","68","AL","68"
"4933","Q;etR","31;et131-2","Q et R","31 et 131-2"
"4934","F","155","F","155"
"4935","H","119","H","119"
"4936","AV","36","AV","36"
"4937","L","40;;116","L","40; 116"
"4938","AK","105","AK","105"
"4939","AQ","107","AQ","107"
"4940","S","105","S","105"
"4941","AO","226","AO","226"
"4942","X","214","X","214"
"4943","AN","169","AN","169"
"4944","AL","168","AL","168"
"4945","F","108","F","108"
"4946","S","167","S","167"
"4947","K","36","K","36"
"4948","AY","61","AY","61"
"4949","BG","46","BG","46"
"4950","AQ","60","AQ","60"
"4951","H","321","H","321"
"4952","BF","107","BF","107"
"4953","Y","186","Y","186"
"4954","AZ","228","AZ","228"
"4955","AQ","31","AQ","31"
"4956","AU","178","AU","178"
"4957","S","128","S","128"
"4958","J","298","J","298"
"4959","AT","75","AT","75"
"4960","AV","218","AV","218"
"4961","L","74","L","74"
"4962","A","24","A","24"
"4963","BF","111","BF","111"
"4964","AQ","32","AQ","32"
"4965","AP","25","AP","25"
"4966","L","74","L","74"
"4967","AM","77","AM","77"
"4968","AH","220","AH","220"
"4969","AH","29","AH","29"
"4970","P","85","P","85"
"4971","AX","111-112","AX","111-112"
"4972","AG","199","AG","199"
"4973","","","",""
"4974","","","",""
"4975","","","",""
"4976","","","",""
"4977","AT","198","AT","198"
"4978","AH","32","AH","32"
"4979","B","170","B","170"
"4980","AN","29","AN","29"
"4981","M","57","M","57"
"4982","AJ","116","AJ","116"
"4983","AQ","208-209","AQ","208-209"
"4984","BF","25","BF","25"
"4985","Z","10","Z","10"
"4986","AG","81","AG","81"
"4987","AO","127","AO","127"
"4988","C","161","C","161"
"4989","AH","15","AH","15"
"4990","AE","121","AE","121"
"4991","BG","73","BG","73"
"4992","F","174","F","174"
"4993","X","137","X","137"
"4994","AE","26","AE","26"
"4995","AH","32","AH","32"
"4996","S","23","S","23"
"4997","AQ","114","AQ","114"
"4998","H","234","H","234"
"4999","H","234","H","234"
"5000","H","234","H","234"
"5001","R","22","R","22"
"5002","H","234","H","234"
"5003","AN","181","AN","181"
"5004","C","121","C","121"
"5005","AP","96","AP","96"
"5006","AS","158","AS","158"
"5007","G","34","G","34"
"5008","H","234","H","234"
"5009","Y","174","Y","174"
"5010","AE","195","AE","195"
"5011","X","214","X","214"
"5012","A","218","A","218"
"5013","M","19","M","19"
"5014","AT","82","AT","82"
"5015","T","86","T","86"
"5016","H","234","H","234"
"5017","D","93","D","93"
"5018","AO","175","AO","175"
"5019","AO","157","AO","157"
"5020","AL","170","AL","170"
"5021","H","234","H","234"
"5022","L","86","L","86"
"5023","AZ","257","AZ","257"
"5024","O","6;750","O","6  7   50"
"5025","T","188","T","188"
"5026","D","166","D","166"
"5027","H","102-100-134-101-364-99-133","H","102-100-134-101-364-99-133"
"5028","BD","164","BD","164"
"5029","Y","115","Y","115"
"5030","B","235;249p-250p","B","235  249 p  -250 p"
"5031","AQ","60","AQ","60"
"5032","AY","61","AY","61"
"5033","Y","97","Y","97"
"5034","D","110","D","110"
"5035","X","38","X","38"
"5036","AB","123","AB","123"
"5037","AO","45","AO","45"
"5038","A","168","A","168"
"5039","M","53","M","53"
"5040","AS","51","AS","51"
"5041","X","218","X","218"
"5042","F","188-189","F","188-189"
"5043","T","83","T","83"
"5044","D","139","D","139"
"5045","H","220","H","220"
"5046","A","88","A","88"
"5047","AU","227","AU","227"
"5048","V","96","V","96"
"5049","X","157","X","157"
"5050","AV","18","AV","18"
"5051","S","23","S","23"
"5052","AD","4","AD","4"
"5053","AD","4","AD","4"
"5054","D","104","D","104"
"5055","X","215","X","215"
"5056","Y","110","Y","110"
"5057","AS","201","AS","201"
"5058","AS","215","AS","215"
"5059","G","8","G","8"
"5060","T","189","T","189"
"5061","Q;R","31;2et131","Q                  R","31                 2 et 131"
"5062","AV","110","AV","110"
"5063","AN","114","AN","114"
"5064","AG","174","AG","174"
"5065","M","96","M","96"
"5066","G","14","G","14"
"5067","U","197","U","197"
"5068","AI","90","AI","90"
"5069","AV","149","AV","149"
"5070","AJ","103","AJ","103"
"5071","AK","156;159;160;161;165;166;162;163;164","AK","156;159;160;161;165;166;162;163;164"
"5072","AH","80","AH","80"
"5073","K","121-122","K","121-122"
"5074","J","248","J","248"
"5075","E","77","E","77"
"5076","AH","222","AH","222"
"5077","M","57","M","57"
"5078","AL","109","AL","109"
"5079","AL","109","AL","109"
"5080","N","34","N","34"
"5081","AI","4","AI","4"
"5082","AO","133","AO","133"
"5083","AL","95","AL","95"
"5084","B","170","B","170"
"5085","N","2-3-20-29-32","N","2-3-20-29-32"
"5086","U","190-193","U","190-193"
"5087","P","85","P","85"
"5088","AP","215","AP","215"
"5089","P","164;(lotA)","P","164 (lot A)"
"5090","AP","104","AP","104"
"5091","AX","2","AX","2"
"5092","AE","96","AE","96"
"5093","AO","44","AO","44"
"5094","AJ","116","AJ","116"
"5095","BD","58","BD","58"
"5096","AP","219","AP","219"
"5097","AP","219","AP","219"
"5098","T","161","T","161"
"5099","D","109-110","D","109-110"
"5100","U","89","U","89"
"5101","AQ","298","AQ","298"
"5102","BF","1;2;3","BF","1;2;3"
"5103","AS","116","AS","116"
"5104","AG","81","AG","81"
"5105","AZ","108","AZ","108"
"5106","AZ","108","AZ","108"
"5107","AN","132","AN","132"
"5108","A","174","A","174"
"5109","H","60","H","60"
"5110","Y","208","Y","208"
"5111","AU","82","AU","82"
"5112","","","",""
"5113","BF","173","BF","173"
"5114","D","117","D","117"
"5115","AS","43","AS","43"
"5116","Y","53","Y","53"
"5117","D","93","D","93"
"5118","E","15","E","15"
"5119","BD","58","BD","58"
"5120","H","218-222-223","H","218-222-223"
"5121","U","85","U","85"
"5122","X","118","X","118"
"5123","B","170","B","170"
"5124","AU","9;10;117;119;141","AU","9;10;117;119;141"
"5125","AD","62","AD","62"
"5126","J","314","J","314"
"5127","AQ","63","AQ","63"
"5128","X","38","X","38"
"5129","AJ","9","AJ","9"
"5130","G","139-140","G","139-140"
"5131","AL","163","AL","163"
"5132","G","88","G","88"
"5133","X","151","X","151"
"5134","B","323","B","323"
"5135","AV","165","AV","165"
"5136","U","206","U","206"
"5137","BF","87","BF","87"
"5138","B","247","B","247"
"5139","Q","25","Q","25"
"5140","AR","200","AR","200"
"5141","AT","96","AT","96"
"5142","AH","121","AH","121"
"5143","T","60","T","60"
"5144","AQ","166","AQ","166"
"5145","BD","50","BD","50"
"5146","AB","137","AB","137"
"5147","C","132","C","132"
"5148","A","289-290","A","289-290"
"5149","AS","34","AS","34"
"5150","G","48","G","48"
"5151","Y","21","Y","21"
"5152","AG","199","AG","199"
"5153","AN","29","AN","29"
"5154","T","132","T","132"
"5155","AP","216","AP","216"
"5156","H","171","H","171"
"5157","H","171","H","171"
"5158","AO","157","AO","157"
"5159","AN","163","AN","163"
"5160","D","94","D","94"
"5161","AJ","179","AJ","179"
"5162","Y","200","Y","200"
"5163","A","149","A","149"
"5164","Y","193","Y","193"
"5165","AJ","9","AJ","9"
"5166","H","234","H","234"
"5167","AH","31","AH","31"
"5168","AJ","9","AJ","9"
"5169","AP","189","AP","189"
"5170","B","323","B","323"
"5171","AK","19","AK","19"
"5172","H","234","H","234"
"5173","H","264","H","264"
"5174","D","21","D","21"
"5175","AY","50","AY","50"
"5176","AL","68","AL","68"
"5177","H","82;371;373","H","82;371;373"
"5178","X","66","X","66"
"5179","AH","29","AH","29"
"5180","AK","53","AK","53"
"5181","AN","172","AN","172"
"5182","AS","214","AS","214"
"5183","AT","113-114-115-118-119-120-121p-122p-124-125-190-197","AT","113-114-115-118-119-120-121p-122p-124-125-190-197"
"5184","I","92","I","92"
"5185","AO","105","AO","105"
"5186","D","49","D","49"
"5187","P","95-151-68","P","95-151-68"
"5188","AT","22","AT","22"
"5189","B","245","B","245"
"5190","AO","51","AO","51"
"5191","AT","161","AT","161"
"5192","F","174","F","174"
"5193","BF","256;(lotA)","BF","256 (lot A)"
"5194","AD","162","AD","162"
"5195","M","3","M","3"
"5196","AQ","324","AQ","324"
"5197","AT","215","AT","215"
"5198","AU/AV","178/232","AU/AV","178/232"
"5199","U","73","U","73"
"5200","AU","59","AU","59"
"5201","U","85","U","85"
"5202","BF","3","BF","3"
"5203","BF","2","BF","2"
"5204","BF","1","BF","1"
"5205","P","138","P","138"
"5206","D","98","D","98"
"5207","P","187","P","187"
"5208","BE","180-181","BE","180-181"
"5209","O","6;;7;50","O","6; 7;50"
"5210","AS","75","AS","75"
"5211","AO","35","AO","35"
"5212","AZ","111","AZ","111"
"5213","AK","1","AK","1"
"5214","AJ","1","AJ","1"
"5215","F","58","F","58"
"5216","Y","186","Y","186"
"5217","X","151","X","151"
"5218","AQ","118","AQ","118"
"5219","X","137","X","137"
"5220","G","48","G","48"
"5221","AJ","210","AJ","210"
"5222","BD","58","BD","58"
"5223","T","83","T","83"
"5224","AU;etAV","182;;178et232","AU et AV","182; 178 et 232"
"5225","K","32","K","32"
"5226","D","78","D","78"
"5227","V","24","V","24"
"5228","H","133p;et375p","H","133p et 375p"
"5229","AS","123","AS","123"
"5230","BF","98","BF","98"
"5231","AZ","1","AZ","1"
"5232","R","141","R","141"
"5233","B","325","B","325"
"5234","Y","11","Y","11"
"5235","AR","88","AR","88"
"5236","T","186","T","186"
"5237","AE","99;164","AE","99;164"
"5238","AP","196","AP","196"
"5239","BF","115","BF","115"
"5240","AT","94","AT","94"
"5241","AZ","11","AZ","11"
"5242","AZ","95","AZ","95"
"5243","AH","52","AH","52"
"5244","C","156","C","156"
"5245","E","77","E","77"
"5246","L","90;92;94;96;135;136;108;110;112","L","90;92;94;96;135;136;108;110;112"
"5247","D","218","D","218"
"5248","A","24","A","24"
"5249","B","323","B","323"
"5250","P","92","P","92"
"5251","X","215","X","215"
"5252","","","",""
"5253","P","191","P","191"
"5254","AQ","107","AQ","107"
"5255","M","53","M","53"
"5256","AO","34","AO","34"
"5257","U","26","U","26"
"5258","G","159","G","159"
"5259","AH","109","AH","109"
"5260","X","63","X","63"
"5261","AO","187","AO","187"
"5262","AH","88","AH","88"
"5263","S","215","S","215"
"5264","B","225","B","225"
"5265","Y","100","Y","100"
"5266","AO","143","AO","143"
"5267","R;etQ","131/31","R et Q","131/31"
"5268","AX","54","AX","54"
"5269","AX","54","AX","54"
"5270","AL","173","AL","173"
"5271","AX","137","AX","137"
"5272","AI","51","AI","51"
"5273","H","96","H","96"
"5274","R","94","R","94"
"5275","Y","156","Y","156"
"5276","AM","57","AM","57"
"5277","Q","26","Q","26"
"5278","AC","51","AC","51"
"5279","AK","126-127-140-141","AK","126-127-140-141"
"5280","Y","94","Y","94"
"5281","AZ","63","AZ","63"
"5282","F","86,87,88,112,114","F","86,87,88,112,114"
"5283","H","234","H","234"
"5284","X","118","X","118"
"5285","AQ","208-209","AQ","208-209"
"5286","AP","159","AP","159"
"5287","C","143","C","143"
"5288","T","29","T","29"
"5289","AJ","120","AJ","120"
"5290","D","139","D","139"
"5291","K","32","K","32"
"5292","AM","87","AM","87"
"5293","T","28","T","28"
"5294","L","90,92,94,96,135,136,108,110,112","L","90,92,94,96,135,136,108,110,112"
"5295","V","107","V","107"
"5296","D","93","D","93"
"5297","J","50","J","50"
"5298","AM","113-114-35-34-20-103-104-36","AM","113-114-35-34-20-103-104-36"
"5299","AE","28","AE","28"
"5300","AZ","25","AZ","25"
"5301","M","18-19-20-21-22-23-24-25","M","18-19-20-21-22-23-24-25"
"5302","AT","113,114,115,118,119,120,121,122,124,125,190,197","AT","113,114,115,118,119,120,121,122,124,125,190,197"
"5303","AT","171","AT","171"
"5304","AS","116","AS","116"
"5305","AV","189","AV","189"
"5306","X","97","X","97"
"5307","S","61","S","61"
"5308","Z","1;46;47","Z","1;46;47"
"5309","Y","18","Y","18"
"5310","AX","2;1","AX","2;1"
"5311","BF","104","BF","104"
"5312","AP","185","AP","185"
"5313","AQ","26","AQ","26"
"5314","AU","169;-31","AU","169 - 31"
"5315","AP","108","AP","108"
"5316","X","82","X","82"
"5317","AB","54","AB","54"
"5318","H","234","H","234"
"5319","X","126","X","126"
"5320","AS","77","AS","77"
"5321","M","96","M","96"
"5322","AL","73","AL","73"
"5323","X","55","X","55"
"5324","AO","34","AO","34"
"5325","D","196","D","196"
"5326","AP","108","AP","108"
"5327","D","98","D","98"
"5328","D","78","D","78"
"5329","AE","28","AE","28"
"5330","BF","3","BF","3"
"5331","BF","2","BF","2"
"5332","BF","1","BF","1"
"5333","T","29","T","29"
"5334","X","55","X","55"
"5335","BG","39","BG","39"
"5336","V","111","V","111"
"5337","AP","189","AP","189"
"5338","M","96","M","96"
"5339","AS","77","AS","77"
"5340","M","132","M","132"
"5341","AH","118","AH","118"
"5342","AJ","171","AJ","171"
"5343","AG","199","AG","199"
"5344","BF","205","BF","205"
"5345","AJ","128","AJ","128"
"5346","AJ","128","AJ","128"
"5347","J","50","J","50"
"5348","Y","214,222,216,221","Y","214,222,216,221"
"5349","V","24","V","24"
"5350","AM","51","AM","51"
"5351","U","206","U","206"
"5352","AT","16","AT","16"
"5353","M","44","M","44"
"5354","AR","157","AR","157"
"5355","A","179","A","179"
"5356","AT","183","AT","183"
"5357","AK","113","AK","113"
"5358","AZ","1","AZ","1"
